prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
143.20.105.0/24,N/A,AS39521,['AS834'],Medium,"AS39521 (TNGNET B.V.) and the authorized AS834 (IPXO LLC) belong to different organizations with no known provider‑customer or sibling relationship. However, the prefix has been announced by both ASes in the past, suggesting a possible delegation, upstream announcement, or recent ownership change, and both operate in the same geographic region (US). No clear signs of malicious hijacking are observed, but the lack of a strong business link keeps the benign assessment at a medium level.",Possible prefix transfer or delegated upstream announcement causing the ROA mismatch.,"['Origin-AS mismatch', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Prefix Transfer / Ownership Change']",weak relationship
143.20.119.0/24,N/A,AS214432,['AS42831'],Medium,"The origin AS214432 and the authorized AS42831 appear unrelated, with no direct organizational or provider‑customer link. However, the prefix has been announced by both ASes previously and recent transfer or ownership changes are evident, suggesting an administrative or configuration issue rather than a deliberate hijack.",Likely a recent prefix transfer or misconfiguration causing a ROA mismatch.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
143.20.142.0/24,N/A,AS834,['AS152734'],High,"The origin AS (AS834) and the authorized AS (AS152734) appear to have a close operational relationship, evidenced by an IRR maintenance record linking the prefix to AS834 and the pattern of delegated or upstream‑downstream announcements, indicating that AS834 likely manages or provides services for AS152734. This suggests the RPKI‑invalid route is a misconfiguration rather than a malicious hijack.",Delegated or upstream-downstream announcements causing a misconfigured ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
143.20.164.0/24,N/A,AS834,['AS204957'],Medium,"The origin AS834 and the authorized AS204957 are not directly linked by a known business relationship, but the prefix has undergone recent transfers and the route objects share a maintainer, indicating an operational or administrative connection that can cause a benign conflict.",Prefix transfer or ownership change leading to incomplete ROA updates.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Administrative Oversight/Misconfiguration)']",weak relationship
143.20.169.0/24,N/A,AS834,['AS204957'],Medium,"The prefix 143.20.169.0/24 has been announced by both AS834 and the ROA‑authorized AS204957 at different times, indicating a multi‑origin situation. Recent route object creation suggests a possible delegation or ownership transfer, but there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship, leaving the benign nature uncertain.","Multi-origin announcement due to recent delegation or upstream/downstream relationship, resulting in partial ROA coverage.","['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
143.20.171.0/24,N/A,AS834,['AS204957'],Medium,"The prefix 143.20.171.0/24 is announced by AS834 while the ROA authorizes AS204957. Recent RIPEstat data shows a change of origin to AS204957 on 2025-07-16 and the maintainer for a route object is listed as MAINT-AS834, indicating an administrative link between the two ASes. This points to a possible recent ownership or delegation change that has not been reflected in the ROA, rather than a malicious hijack, but there is no concrete evidence of a same‑organization or provider‑customer relationship.",Recent ownership or delegation change leading to a multi‑origin situation with incomplete ROA updates.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Oversight/Misconfiguration)']",weak relationship
143.20.172.0/24,N/A,AS834,['AS204957'],Medium,"The origin AS834 announces the prefix 143.20.172.0/24 which is authorized in the ROA for AS204957. RIPEstat data shows a recent update where AS204957 is listed as the origin, and the route object's maintainer is associated with AS834, indicating an administrative link. This suggests a recent prefix transfer or ownership change that has not yet been reflected in the ROA, leading to a validation failure. No direct evidence of a strong provider‑customer or same‑organization relationship is found, but the overlap points to a likely benign misconfiguration.",Multi-Origin with Partial ROA Coverage due to recent administrative change or prefix transfer.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Administrative Oversight/Misconfiguration)']",weak relationship
143.20.2.0/23,N/A,AS834,['AS214480'],Medium,"The origin AS (AS834) and the authorized AS (AS214480) show a relationship indicated by IRR maintainer links and delegated/upstream‑downstream announcements; AS214480 is the primary holder of the prefix according to RIPEstat data. However, there is no direct evidence of a same‑organization or explicit provider‑customer relationship, making the connection plausible but not definitively strong.",The conflict likely results from a delegated or upstream‑downstream announcement where AS834 announces on behalf of AS214480 without proper ROA alignment.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",weak relationship
143.20.207.0/24,N/A,AS834,['AS207019'],High,"RIPEstat data shows that AS834 is listed as the maintainer of a route object for the prefix, while the ROA authorizes AS207019, indicating a provider‑customer or sibling relationship and suggesting that the announcement by AS834 is a delegated or upstream‑downstream configuration error rather than a malicious hijack.",Misconfiguration from delegated/upstream‑downstream announcements between a provider‑customer (or sibling) relationship after a prefix ownership transfer.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
143.20.213.0/24,N/A,AS834,['AS206822'],Medium,"The origin AS AS834 and the authorized AS AS206822 have no clear provider‑customer, sibling, or organizational link, but the prefix has a history of transfers and has been announced by both ASes at different times, suggesting a possible business or operational relationship. The mismatch may stem from a multi‑origin configuration, delegated/upstream‑downstream announcements, or incomplete ROA updates after a recent ownership change.",The mismatch likely results from a multi‑origin setup or recent prefix transfer causing incomplete ROA coverage.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
143.20.236.0/24,N/A,AS834,"['AS62240', 'AS202791']",High,"The origin AS834 and the authorized ASes AS62240 and AS202791 are all associated with Clouvider Limited, and RIPEstat route objects show mutual maintainer attributes, indicating a close organizational link. This points to internal delegation or a recent prefix transfer, resulting in a multi‑origin announcement where the ROAs have not yet been updated for AS834.",Multi‑origin with partial ROA coverage caused by internal delegation or recent prefix transfer within the same organization.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Complex Organizational Structure)']",same organization
143.20.255.0/24,N/A,AS834,['AS213738'],High,"The origin AS AS834 and the authorized AS AS213738 have a close operational relationship, likely a customer‑provider or upstream‑downstream link, as indicated by recent prefix transfer/ownership change records and IRR maintainer data that associate both ASes with the same prefix, suggesting an administrative linkage rather than a malicious hijack.",Delegated/upstream‑downstream announcement due to a recent prefix transfer or multi‑origin configuration with incomplete ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
