prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
156.253.250.0/24,N/A,AS213725,['AS328608'],Medium,"There is no clear evidence of a direct business or organizational relationship between AS213725 and the authorized AS328608; they are not known to be in the same organization or a customer‑provider pair. However, both ASes operate in the same geographic region (Africa) and have announced the same or overlapping prefixes, suggesting a possible upstream/downstream delegation or multi‑origin configuration. The lack of definitive linkage keeps the confidence moderate, leading to a medium benign level.","Multi-origin announcement with partial ROA coverage, possibly due to delegated upstream/downstream configuration or misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
157.254.215.0/24,N/A,AS400506,"['AS14618', 'AS16509']",Medium,"The origin AS400506 is not directly related to the authorized ASes AS14618 and AS16509, but it has previously announced an Amazon EC2 prefix, suggesting a possible delegated or third‑party announcement for traffic engineering or cloud edge services. While no explicit provider‑customer or sibling relationship is evident, the circumstantial evidence points to a misconfiguration or upstream‑downstream arrangement rather than a clear malicious hijack.",Delegated or third‑party announcement without proper ROA update,"['Hijacks', 'Third-Party Announcements (CDNs, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
157.254.223.0/24,N/A,AS55154,['AS213186'],Medium,"AS55154 announced the prefix while the ROA authorizes AS213186. There is no clear evidence of a same‑organization, provider‑customer, or sibling relationship between the two ASes, but the prefix has been observed under both origins, suggesting a recent ownership or delegation change. This situation points to a likely misconfiguration or incomplete ROA update rather than a deliberate hijack.",Misconfiguration during a recent prefix ownership transfer leading to partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
160.115.253.0/24,N/A,AS400506,['AS37153'],Medium,"The origin AS (AS400506) and the authorized AS (AS37153) have no confirmed direct business or organizational relationship, and AS400506 has not previously announced this prefix. However, both ASes are registered in South Africa, a region with a relatively small ISP ecosystem, which suggests a possible upstream/downstream or hosting arrangement, though this cannot be verified.","Potential hijack, though a delegated or upstream/downstream hosting arrangement cannot be ruled out.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, cloud edges, or hosting agreements)']",,
160.19.47.0/24,N/A,AS273441,['AS266159'],Medium,"Both the origin AS (AS273441) and the authorized AS (AS266159) are registered in Brazil under LACNIC, indicating they operate in the same geographic and regulatory environment. No direct provider‑customer, sibling, or organizational link is evident, but the overlap suggests a possible delegated or upstream‑downstream relationship or a recent prefix transfer, making a benign misconfiguration more likely than a malicious hijack.",Likely a delegated/upstream‑downstream announcement or multi‑origin configuration with partial ROA coverage resulting from a prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
165.140.36.0/22,N/A,AS22773,['AS399672'],Medium,"The origin AS (AS22773) announced the prefix while the ROA authorizes AS399672; both ASes are US‑based and the announcement pattern suggests a delegated or upstream‑downstream relationship, but there is no concrete evidence of a strong business tie. The lack of detailed relationship data and the presence of partial ROA coverage point to an operator misconfiguration rather than malicious intent.",Operator misconfiguration resulting in a delegated/upstream‑downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Traffic Engineering / Deaggregate Mismatches']",,
165.21.114.0/24,N/A,AS64013,"['AS19905', 'AS9506', 'AS3758']",Medium,"AS64013 announces the prefix 165.21.114.0/24 while the ROAs authorize AS19905, AS9506, and AS3758. The prefix belongs to a larger block historically managed by Singapore‑based operators (SingNet, Singapore Telecommunications), suggesting a possible delegated or upstream‑downstream relationship, but there is no concrete evidence of common ownership or a direct provider‑customer link. Consequently, the conflict appears to stem from a multi‑origin situation with partial ROA coverage rather than a clear hijack.",Multi‑origin announcement with partial ROA coverage due to delegated or upstream‑downstream relationships.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)', 'Prefix Transfer / Ownership Change']",,
168.227.16.0/24,N/A,AS37468,['AS263980'],Low,"The origin AS (AS37468, ANGOLA-CABLES) and the authorized AS in the ROA (AS263980, G3 Telecom EIRELI) are different organizations located in Angola and Brazil respectively, with no known provider‑customer, sibling, or corporate relationship. Although the announced /24 is a more specific of the ROA’s /22, the lack of any documented operational linkage suggests the announcement is likely a misconfiguration or an unauthorized hijack rather than a legitimate delegated announcement.",Likely hijack due to unauthorized announcement of a more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Hijacks']",,
168.227.18.0/24,N/A,AS37468,['AS263980'],High,"The origin AS37468 and the authorized AS263980 have a strong, documented relationship: AS37468 holds proxy‑registered route objects for the prefix (including a less‑specific /23) on behalf of AS263980, indicating a provider‑customer or upstream‑downstream arrangement. IRR records and RIPEstat data explicitly reference this delegation, supporting that the announcement is a legitimate delegated announcement rather than a hijack.",Delegated/upstream‑downstream announcement where AS37468 announces on behalf of AS263980.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",,
168.227.19.0/24,N/A,AS37468,['AS263980'],High,"The origin AS (AS37468) and the authorized AS (AS263980) have a close relationship: IRR records show AS37468 acting as a proxy for AS263980, and RIPEstat data indicate that AS37468 maintains route objects for AS263980's prefixes, suggesting a provider‑customer or delegated arrangement. No prefix ownership changes or anomalous routing behavior are observed, supporting a benign conflict assessment.","Delegated upstream‑downstream announcement, possibly due to a misconfigured ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
168.90.18.0/24,N/A,AS266989,['AS265271'],High,"Both AS266989 and AS265271 are Brazilian entities operating under the same LACNIC region, and IRR/RIPEstat data indicate a clear provider‑customer relationship with AS266989 acting as a downstream customer of AS265271. The hierarchical routing practice and the presence of route objects referencing the downstream customer support the view that the announcement is a delegated upstream‑downstream operation rather than a malicious hijack.",Delegated/upstream‑downstream announcements where a downstream customer announces a more specific prefix not covered by the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
170.0.78.0/24,N/A,AS269410,['AS270413'],Medium,"The origin AS (AS269410) currently announces no prefixes and has low visibility, while the authorized AS (AS270413) is active and well‑visible. Both ASes are allocated by LACNIC, indicating regional proximity, and the prefix has historically been announced by both, suggesting a possible upstream/downstream or legacy operational relationship. However, there is no direct evidence of a same‑organization or strong provider‑customer tie, making the conflict likely due to a misconfiguration or legacy delegation rather than a deliberate hijack.",Misconfiguration or legacy delegation stemming from an upstream/downstream relationship or recent prefix ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
170.233.21.0/24,N/A,AS61857,['AS268289'],Medium,"AS61857 has been announcing the more specific prefix 170.233.21.0/24 since 2016, which falls within the larger block 170.233.20.0/22 owned by AS268289. This pattern is consistent with a prefix transfer or delegated upstream‑downstream arrangement, and both ASes are registered in the LACNIC region, indicating a regional relationship. However, there is no publicly documented customer‑provider, sibling, or organizational link, so the evidence points to a likely benign conflict of medium confidence.",Prefix transfer or delegated upstream-downstream announcement leading to partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
