prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
151.244.248.0/22,N/A,AS58224,['AS199925'],Medium,"The origin AS58224 and the authorized AS199925 do not share a known organizational or provider‑customer relationship and are located in different countries (Iran and Vietnam). Historical data shows the prefix has been announced by AS58224 and has experienced ownership or delegation changes, leading to multi‑origin announcements and partial ROA coverage. These factors suggest a possible benign conflict arising from a transfer or misconfiguration, but the lack of direct evidence prevents a higher confidence level.",Possible prefix ownership transfer or misconfiguration causing the conflict.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential unverified partnership or shared operational arrangement)']",weak relationship
154.201.80.0/20,N/A,AS398465,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",Medium,"The origin AS398465 (RACKDOG-LLC) does not share an organizational or provider‑customer relationship with any of the authorized ASes, which belong to separate entities such as High Family Technology Co. and cognetcloud INC. The prefix is part of a larger block that is announced by multiple ASes, and the presence of several authorized ASes suggests a delegated or upstream‑downstream arrangement that can produce multi‑origin announcements. This circumstantial evidence points to a potential benign conflict rather than a clear hijack, though the lack of a strong relationship keeps confidence moderate.",Delegated/upstream‑downstream announcements causing multi‑origin with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Complex Partnership Setup)']",weak relationship
154.218.5.251/32,N/A,AS133448,['AS138995'],Medium,"The origin AS133448 and the authorized AS138995 are both located in the APAC region, but no direct customer‑provider, sibling, or organizational link is evident. The announced /32 is a more specific slice of the /24 prefix that is authorized to AS138995, indicating a deaggregation or delegated upstream‑downstream announcement that may lack proper ROA coverage. This pattern suggests a benign misconfiguration rather than a malicious hijack.",Deaggregated prefix announced by a downstream AS without proper ROA coverage.,"['Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Deaggregate Mismatches']",same region
154.86.16.0/23,N/A,AS18464,"['AS137535', 'AS140227', 'AS8796', 'AS40115', 'AS395886']",Low,"AS18464 is registered to Alvidi Technology Inc in Canada, while the authorized ASes in the ROAs are primarily associated with organizations in Hong Kong and other regions. No provider‑customer, sibling, or organizational relationship is evident, and the geographic separation suggests the invalid announcement is unlikely to be a benign delegation, pointing instead to a potential hijack.",Hijack,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Infrastructure Sharing)', 'Hijacks']",no relationship
154.86.18.0/23,N/A,AS18464,"['AS140227', 'AS8796', 'AS40115', 'AS395886']",Low,"The origin AS (AS18464) is not listed in any ROA for the prefix and there is no known customer‑provider, sibling, or organizational relationship with the authorized ASes (AS140227, AS8796, AS40115, AS395886). Although one analysis noted a possible geographic overlap in Hong Kong, the registrant information shows AS18464 belongs to a different organization, and no operational ties are evident. Consequently, the invalid announcement is most plausibly a hijack or misconfiguration.","Likely hijack or misconfiguration, possibly due to delegated/upstream‑downstream announcements with incomplete ROA coverage.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Misconfiguration']",no relationship
154.86.20.0/23,N/A,AS18464,"['AS140227', 'AS8796', 'AS40115', 'AS395886']",Low,"The majority of analyses find no operational or geographic link between the announcing AS (AS18464) and any of the authorized ASes in the ROAs, indicating the announcement is likely invalid. One analysis suggests a possible Hong Kong‑based business connection, but this is not corroborated by the other sources and lacks concrete evidence of a provider‑customer or sibling relationship, leading to a low confidence in a benign explanation.",Potential BGP hijack due to an invalid announcement without a clear legitimate relationship.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Business Relationship between ASes)']",no relationship
154.86.22.0/23,N/A,AS18464,"['AS140227', 'AS8796', 'AS40115', 'AS395886']",Medium,"AS18464 is not listed in any ROA for the prefix, while the ROAs authorize AS140227, AS8796, AS40115, and AS395886. One of the authorized ASes, AS140227, shares a Hong Kong location and appears to be linked to Hong Kong Communications International Co., suggesting a possible business relationship with AS18464. The remaining authorized ASes have no evident operational or geographic connection to AS18464. This mixed evidence leads to a medium benign likelihood.","Potential delegated or upstream-downstream announcement with partial ROA coverage due to a business relationship between AS18464 and AS140227, or a misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Business Relationship between ASes)', 'Misconfiguration']",same region
156.240.60.0/24,N/A,AS134428,['AS26617'],Medium,"There is no clear customer‑provider, sibling, or same‑organization link between AS134428 and the authorized AS26617. However, both operate in the telecommunications/cloud sector and have announced the prefix or its supernet at different times, suggesting possible indirect relationships such as delegated upstream/downstream arrangements, CDN usage, or a recent prefix transfer. While these factors indicate a potential benign conflict, the lack of concrete relationship data prevents a higher confidence assessment.",Possible delegated upstream/downstream announcement or recent prefix transfer/ownership change.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential indirect collaborations or shared infrastructure without public disclosure)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.240.61.0/24,N/A,AS134428,['AS26617'],Medium,"There is no direct provider‑customer, sibling, or same‑organization link between AS134428 (Edge Cloud Globe Co.) and AS26617 (Navega.com S.A.). However, the prefix has previously been announced by AS26617 and an IRR record identifies AS26617 as the legitimate holder. Geographic proximity and the possibility of delegated or upstream‑downstream announcements (e.g., CDN or cloud‑edge services) suggest the invalid route may stem from a benign operational practice rather than a malicious hijack, though the use of a more specific prefix keeps some suspicion.",The invalid route likely results from a delegated or upstream‑downstream announcement without an updated ROA.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Regional Partnership/Oversight in ROA Management)', 'Multi-Origin with Partial ROA Coverage']",same region
157.254.223.0/24,N/A,AS55154,['AS213186'],Medium,"The origin AS55154 and the authorized AS213186 are different entities with no confirmed same‑organization or provider‑customer relationship. Both operate in the United States, providing regional proximity, and historical routing data shows that AS213186 previously announced the prefix, suggesting a possible transfer or ownership change that was not reflected in the ROA. This mismatch likely stems from a misconfiguration related to the transfer rather than a malicious hijack.","A prefix transfer or ownership change not reflected in the ROA, causing a mismatch between the origin AS and the authorized AS.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change (without updated ROA)', 'Others (Potential unrecorded operational relationship)', 'Multi-Origin with Partial ROA Coverage']",same region
